Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
140,353618.400,335907.587,412,714,57,4,3.328,201
141,355195.400,337690.989,412,689,57,4,3.345,201
142,356805.400,340220.760,412,668,57,4,3.365,201
143,355134.400,339925.664,412,670,57,4,3.370,201
144,357517.400,342063.450,412,662,57,4,3.393,201
145,360868.400,344930.658,416,639,57,4,3.424,201
146,360610.400,346188.945,414,626,57,4,3.432,201
147,360627.400,347718.446,414,625,417,4,3.441,201
148,359535.400,346656.590,414,645,417,4,3.446,201
149,361780.400,348206.959,414,679,417,4,3.474,201
150,361224.400,348843.037,414,681,417,4,3.481,201
151,361163.400,348672.529,414,663,417,4,3.479,201
152,360414.400,349128.238,414,655,417,4,3.486,201
153,358408.400,348595.074,414,663,417,4,3.495,201
154,359117.400,348555.166,414,704,417,4,3.495,201
155,360036.400,349215.177,414,680,417,4,3.495,201
156,359973.400,350377.015,401,679,417,4,3.506,201
157,358828.400,350700.773,422,705,417,4,3.526,201
158,358980.400,349609.456,401,706,417,4,3.538,201
159,360307.400,350651.617,401,701,417,4,3.542,201
160,362115.400,351828.085,401,710,417,4,3.554,201
161,363107.400,352565.905,401,734,417,4,3.572,193
162,365810.400,353755.661,401,746,417,4,3.578,193
163,366457.400,353580.111,401,757,417,4,3.579,193
164,367719.400,353233.318,401,748,417,4,3.574,193
165,366055.400,352254.786,401,750,417,4,3.571,193
166,403314.400,352539.511,337,750,417,4,3.583,193
167,408050.400,353386.253,337,782,417,4,3.590,193
168,395355.300,350567.842,63,770,417,4,3.575,193
169,394251.300,349009.653,63,756,417,4,3.571,193
170,395622.300,348766.217,63,766,417,4,3.576,193
171,402662.300,350452.398,63,800,417,4,3.599,193
172,400985.300,349026.546,63,779,417,5,3.593,1185
173,403317.300,351972.327,63,820,417,5,3.612,1185
174,412272.300,353363.930,62,806,417,5,3.630,1185
175,417596.300,353506.642,62,839,417,5,3.642,1185
176,421801.300,356211.723,62,861,417,5,3.654,1185
177,423958.300,355934.627,62,851,417,5,3.651,1185
178,424294.300,353408.366,62,799,417,5,3.647,1185
179,428277.300,353087.607,62,833,417,5,3.659,1185
180,425336.300,351379.518,62,814,417,5,3.660,1185
181,421345.300,349361.151,62,761,417,5,3.638,1185
182,418136.300,345266.497,62,739,417,5,3.604,1185
183,410546.300,341191.621,62,731,417,5,3.586,1185
184,407569.300,338468.470,62,697,417,5,3.574,1185
185,402152.300,336326.829,62,692,417,5,3.568,1185
186,402169.300,335514.798,63,705,417,5,3.589,1185
187,405585.300,334846.267,62,688,417,4,3.588,288
188,399014.300,331843.540,63,666,417,4,3.573,288
189,396045.300,328230.291,63,629,417,4,3.567,289
190,393193.300,326771.912,63,593,417,5,3.562,2209
191,390743.300,324088.286,63,530,417,5,3.550,2209
192,377319.300,318210.695,63,513,417,4,3.519,351
193,366577.300,313808.619,63,473,417,4,3.491,273
194,360211.300,308622.959,63,441,417,4,3.459,273
195,349009.300,301526.911,63,418,417,4,3.433,273
196,335860.300,292631.120,63,386,417,4,3.409,193
197,323272.300,283154.173,129,341,417,4,3.385,193
198,321053.300,278678.835,129,351,62,4,3.366,193
199,313364.300,270978.624,129,376,62,4,3.333,193
200,309337.300,270919.862,129,392,63,4,3.325,193
201,320968.400,264367.525,345,460,63,4,3.306,193
202,316101.400,258559.712,345,489,63,4,3.291,193
203,312987.400,257429.285,345,509,63,4,3.275,193
204,309166.400,256532.822,345,522,63,4,3.256,193
205,304596.400,252059.891,345,582,63,4,3.230,193
206,300374.400,251514.555,345,613,63,4,3.207,193
207,293621.300,250229.648,89,612,63,4,3.183,193
208,293886.300,250603.911,89,662,63,4,3.167,193
209,295681.300,251616.100,89,730,63,4,3.160,193
210,297702.300,255455.140,89,724,63,4,3.163,193
211,298406.300,258774.130,89,707,63,4,3.167,193
212,308033.300,262790.258,97,705,63,4,3.176,193
213,299263.300,267865.348,89,712,63,4,3.187,193
214,301559.300,274391.298,89,692,63,4,3.204,193
215,302433.300,278403.746,89,697,63,4,3.228,193
216,303378.300,281437.000,129,719,63,4,3.231,193
217,308086.300,285346.577,129,659,63,4,3.245,193
218,307474.300,286460.207,88,662,63,4,3.236,241
219,313802.300,290008.835,129,613,63,4,3.260,241
220,316708.300,291825.301,129,590,63,4,3.271,241
221,319551.300,293152.539,129,560,63,4,3.268,241
222,320234.300,293132.497,129,548,63,4,3.275,241
223,322268.300,292646.034,129,557,63,4,3.288,241
224,318815.300,292533.394,129,552,63,4,3.279,241
225,321435.300,293992.667,129,535,63,4,3.284,177
226,324066.300,294920.687,129,510,63,4,3.295,177
227,326700.300,296361.831,129,495,63,4,3.301,241
228,329971.300,297982.894,129,478,369,4,3.313,241
229,328136.300,298571.030,129,497,369,4,3.319,241
230,333122.300,300260.647,129,541,369,4,3.345,241
231,335220.300,302748.321,129,571,369,4,3.361,241
